,0
0,"Depart: 6 Mar 2019
$307"
1,"Depart: 7 Mar 2019
$312"
2,"Depart: 8 Mar 2019
$331"
3,"Depart: 9 Mar 2019
$369"
4,"Depart: 10 Mar 2019
$376"
5,"Depart: 11 Mar 2019
$310"
6,"Depart: 12 Mar 2019
$305"
7,"Depart: 13 Mar 2019
$307"
8,"Depart: 14 Mar 2019
$305"
9,"Depart: 15 Mar 2019
$342"
10,"Depart: 16 Mar 2019
$352"
11,"Depart: 17 Mar 2019
$354"
12,"Depart: 18 Mar 2019
$307"
13,"Depart: 19 Mar 2019
$305"
14,"Depart: 20 Mar 2019
$305"
15,"Depart: 21 Mar 2019
$391"
16,"Depart: 22 Mar 2019
$420"
17,"Depart: 23 Mar 2019
$452"
18,"Depart: 24 Mar 2019
$354"
19,"Depart: 25 Mar 2019
$364"
20,"Depart: 26 Mar 2019
$307"
21,"Depart: 27 Mar 2019
$305"
22,"Depart: 28 Mar 2019
$307"
