,0
0,"Depart: 19 Jan 2019
$323"
1,"Depart: 20 Jan 2019
$323"
2,"Depart: 21 Jan 2019
$322"
3,"Depart: 22 Jan 2019
$319"
4,"Depart: 23 Jan 2019
$322"
5,"Depart: 24 Jan 2019
$328"
6,"Depart: 25 Jan 2019
$367"
7,"Depart: 26 Jan 2019
$370"
8,"Depart: 27 Jan 2019
$406"
9,"Depart: 28 Jan 2019
$358"
10,"Depart: 29 Jan 2019
$342"
11,"Depart: 30 Jan 2019
$344"
12,"Depart: 31 Jan 2019
$325"
13,"Depart: 1 Feb 2019
$342"
14,"Depart: 2 Feb 2019
$416"
15,"Depart: 3 Feb 2019
$347"
16,"Depart: 4 Feb 2019
$337"
17,"Depart: 5 Feb 2019
$334"
18,"Depart: 6 Feb 2019
$372"
19,"Depart: 7 Feb 2019
$341"
20,"Depart: 8 Feb 2019
$441"
21,"Depart: 9 Feb 2019
$529"
22,"Depart: 10 Feb 2019
$507"
